0,0.695,0.55,0.215,1.9565,0.7125,0.541,0.59,1
2,0.345,0.27,0.11,0.2135,0.082,0.0545,0.07,0
0,0.655,0.54,0.215,1.844,0.7425,0.327,0.585,2
1,0.565,0.455,0.175,1.013,0.342,0.207,0.35,1
2,0.275,0.205,0.075,0.1105,0.045,0.0285,0.035,0
0,0.58,0.455,0.17,0.93,0.408,0.259,0.22,0
0,0.545,0.42,0.14,0.7505,0.2475,0.13,0.255,2
2,0.36,0.28,0.105,0.199,0.0695,0.045,0.08,0
2,0.46,0.35,0.12,0.4885,0.193,0.105,0.155,1
1,0.43,0.325,0.115,0.3865,0.1475,0.1065,0.11,1
0,0.315,0.25,0.09,0.203,0.0615,0.037,0.0795,1
2,0.42,0.32,0.115,0.376,0.169,0.092,0.1,0
0,0.575,0.475,0.16,1.114,0.4955,0.2745,0.29,0
0,0.605,0.475,0.155,1.161,0.572,0.2455,0.275,0
2,0.445,0.34,0.145,0.434,0.1945,0.0905,0.13,0
0,0.655,0.515,0.16,1.31,0.553,0.369,0.345,1
0,0.715,0.55,0.19,2.0045,1.0465,0.407,0.5075,1
2,0.41,0.335,0.11,0.33,0.157,0.0705,0.17,0
1,0.575,0.42,0.135,0.857,0.461,0.147,0.2125,1
1,0.475,0.365,0.115,0.566,0.281,0.117,0.1335,0
0,0.655,0.55,0.18,1.274,0.586,0.281,0.365,1
1,0.71,0.54,0.205,1.5805,0.802,0.287,0.435,1
2,0.455,0.325,0.135,0.82,0.4005,0.1715,0.211,0
0,0.525,0.365,0.17,0.9605,0.438,0.2225,0.276,1
0,0.72,0.56,0.18,1.5865,0.691,0.375,0.4425,1
2,0.435,0.33,0.105,0.335,0.156,0.0555,0.105,0
2,0.495,0.38,0.135,0.5095,0.2065,0.1165,0.165,0
2,0.53,0.395,0.13,0.575,0.247,0.115,0.183,0
1,0.57,0.435,0.15,0.8295,0.3875,0.156,0.245,1
0,0.59,0.465,0.165,1.115,0.5165,0.273,0.275,1
0,0.53,0.425,0.13,0.7455,0.2995,0.1355,0.245,1
1,0.595,0.47,0.25,1.283,0.462,0.2475,0.445,1
1,0.645,0.49,0.215,1.406,0.4265,0.2285,0.51,2
1,0.55,0.415,0.135,0.775,0.302,0.179,0.26,2
0,0.49,0.395,0.135,0.5545,0.213,0.0925,0.215,1
1,0.45,0.345,0.115,0.496,0.1905,0.117,0.14,1
2,0.47,0.35,0.135,0.567,0.2315,0.1465,0.1525,1
1,0.465,0.36,0.12,0.4765,0.192,0.1125,0.16,1
2,0.335,0.24,0.095,0.17,0.062,0.039,0.055,0
0,0.565,0.44,0.175,1.122,0.393,0.2,0.375,2
1,0.695,0.53,0.2,2.0475,0.75,0.4195,0.6095,1
0,0.595,0.47,0.165,1.108,0.4915,0.2325,0.3345,0
2,0.385,0.3,0.125,0.343,0.1705,0.0735,0.081,0
2,0.415,0.335,0.1,0.358,0.169,0.067,0.105,0
2,0.45,0.335,0.105,0.362,0.1575,0.0795,0.1095,0
2,0.495,0.375,0.12,0.589,0.3075,0.1215,0.1405,0
2,0.37,0.28,0.085,0.198,0.0805,0.0455,0.058,0
2,0.435,0.335,0.095,0.298,0.109,0.058,0.115,0
1,0.645,0.485,0.15,1.151,0.5935,0.2315,0.293,1
2,0.67,0.485,0.175,1.2565,0.5355,0.322,0.386,0
2,0.55,0.405,0.15,0.6755,0.3015,0.1465,0.21,1
0,0.575,0.445,0.14,0.737,0.325,0.1405,0.237,1
1,0.595,0.46,0.16,0.921,0.4005,0.2025,0.2875,0
1,0.63,0.495,0.19,1.1655,0.536,0.2115,0.1625,1
1,0.605,0.475,0.145,1.0185,0.4695,0.225,0.27,1
1,0.45,0.325,0.135,0.438,0.1805,0.1165,0.11,0
0,0.555,0.44,0.145,0.85,0.4165,0.1685,0.23,0
2,0.48,0.355,0.125,0.494,0.2385,0.0835,0.15,0
2,0.52,0.41,0.14,0.699,0.3395,0.129,0.1945,1
2,0.525,0.4,0.14,0.6055,0.2605,0.108,0.21,0
1,0.35,0.275,0.065,0.205,0.0745,0.0465,0.07,1
2,0.36,0.27,0.09,0.2075,0.098,0.039,0.062,0
1,0.62,0.465,0.14,1.011,0.479,0.2385,0.255,0
0,0.625,0.47,0.145,1.7855,0.675,0.247,0.3245,1
1,0.635,0.5,0.175,1.477,0.684,0.3005,0.39,1
